name,handedness,height,weight,avg,HR,new_avg,new_HR
Marty Perez,R,71,160,0.246,22,0.246,22
Tom Matchick,L,73,173,0.215,4,0.215,4
Jack Perconte,L,70,160,0.27,2,0.27,2
Ed Kirkpatrick,L,71,195,0.238,85,0.238,85
Jerry Grote,R,70,185,0.252,39,0.252,39
Ellie Hendricks,L,73,175,0.22,62,0.22,62
Jim Beauchamp,R,74,190,0.231,14,0.231,14
Terry Wilshusen,R,74,210,0,0,0.0055,0.176
Tito Fuentes,B,71,175,0.268,45,0.268,45
Ron Brand,R,67,167,0.239,3,0.239,3
Leo Cardenas,R,71,150,0.257,118,0.257,118
Art Shamsky,L,73,168,0.253,68,0.253,68
Steve Ellsworth,R,80,220,0,0,0.0067,0.142
Ron Cey,R,70,185,0.261,316,0.261,316
Skip Jutze,R,71,190,0.215,3,0.215,3
Butch Wynegar,B,73,190,0.255,65,0.255,65
Ron LeFlore,R,72,200,0.288,59,0.288,59
Bill Russell,R,72,175,0.263,46,0.263,46
Gene Tenace,R,72,190,0.241,201,0.241,201
Bubba Morton,R,70,175,0.267,14,0.267,14
Ellie Rodriguez,R,71,185,0.245,16,0.245,16
Darrel Chaney,B,74,188,0.217,14,0.217,14
Dick Nen,L,74,200,0.224,21,0.224,21
Bryan Kelly,R,74,195,0,0,0.0053,0.135
Bill Freehan,R,75,203,0.262,200,0.262,200
Steve Nicosia,R,70,185,0.248,11,0.248,11
Ted Savage,R,73,185,0.233,34,0.233,34
Pete Mackanin,R,74,190,0.226,30,0.226,30
Rich Dauer,R,72,180,0.257,43,0.257,43
Mick Kelleher,R,69,176,0.213,0,0.213,0
Rowland Office,L,72,170,0.259,32,0.259,32
Rick Leach,L,73,180,0.268,18,0.268,18
Dwayne Murphy,L,73,185,0.246,166,0.246,166
Larry Harlow,L,74,185,0.248,12,0.248,12
Mike Epstein,L,75,230,0.244,130,0.244,130
Jerry Mumphrey,B,74,185,0.289,70,0.289,70
Don Sutton,R,73,185,0.144,0,0.144,0
Glenn Beckert,R,73,190,0.283,22,0.283,22
Ron Davis,R,72,175,0.233,10,0.233,10
Mike Shannon,R,75,195,0.255,68,0.255,68
Jason Thompson,L,76,200,0.261,208,0.261,208
Wayne Tolleson,B,69,160,0.241,9,0.241,9
John Leister,R,74,200,0,0,0.0007,0.128
Don Cooper,R,73,185,0,0,0.0153,0.186
Mike Jorgensen,L,72,195,0.243,95,0.243,95
Ed Romero,R,71,160,0.247,8,0.247,8
Rick Joseph,R,73,192,0.243,13,0.243,13
Cecil Cooper,L,74,165,0.298,241,0.298,241
Bill Almon,R,75,180,0.254,36,0.254,36
Joe Ferguson,R,74,200,0.24,122,0.24,122
Jeff Jones,R,75,210,0,0,0.012,0.127
Jerry Terrell,R,71,165,0.253,4,0.253,4
John Poloni,L,77,210,0,0,0.0031,0.102
Dave Revering,L,76,210,0.265,62,0.265,62
Curt Ford,L,70,150,0.245,7,0.245,7
Jerry Dybzinski,R,74,180,0.234,3,0.234,3
Mike Willis,L,74,205,0,0,0.009,0.168
Bob Burda,L,71,174,0.224,13,0.224,13
Jesse Gonder,L,70,180,0.251,26,0.251,26
Gary Sutherland,R,72,185,0.243,24,0.243,24
Bob Coluccio,R,71,183,0.22,26,0.22,26
Dave Rader,L,71,165,0.257,30,0.257,30
Ron Gardenhire,R,72,175,0.232,4,0.232,4
Bill Sharp,L,70,178,0.255,9,0.255,9
Alan Bannister,R,71,170,0.27,19,0.27,19
Bob Watson,R,72,201,0.295,184,0.295,184
Ken Harrelson,R,74,190,0.239,131,0.239,131
Bobby Wine,R,73,187,0.215,30,0.215,30
Stefan Wever,R,80,245,0,0,0.0097,0.121
John Kennedy,R,72,185,0.225,32,0.225,32
Chico Ruiz,B,72,169,0.24,2,0.24,2
Dave Johnson,R,73,183,0,0,0.005,0.143
Gail Hopkins,L,70,198,0.266,25,0.266,25
Doug Frobel,L,76,196,0.201,20,0.201,20
Luis Melendez,R,72,165,0.248,9,0.248,9
Jerry Augustine,L,72,183,0,0,0.0033,0.161
Bill Plummer,R,73,190,0.188,14,0.188,14
Buck Rodgers,B,74,190,0.232,31,0.232,31
Phil Niekro,R,73,180,0.169,7,0.169,7
Jeff Holly,L,77,210,0,0,0.0105,0.147
Tom Poquette,L,70,175,0.268,10,0.268,10
Eric Hetzel,R,75,175,0,0,0.0053,0.137
Brian Asselstine,L,73,175,0.254,12,0.254,12
Rick Miller,L,72,175,0.269,28,0.269,28
Ed Charles,R,70,170,0.263,86,0.263,86
Luis Gomez,R,69,150,0.21,0,0.21,0
Dave Lemanczyk,R,76,235,0,0,0.0035,0.191
Al Jones,R,76,210,0,0,0.0086,0.11
Floyd Rayford,R,70,190,0.244,38,0.244,38
Sam Hinds,R,78,215,0,0,0.0011,0.171
Tony Conigliaro,R,75,185,0.264,166,0.264,166
Clay Christiansen,R,77,205,0,0,0.0092,0.186
Jim Barr,R,75,205,0.162,1,0.162,1
Jerry Remy,L,69,165,0.275,7,0.275,7
Larry Rothschild,L,74,180,0,0,0.0078,0.19
Frank Duffy,R,73,180,0.232,26,0.232,26
Gary Lance,B,75,195,0,0,0.0034,0.124
Tom O'Malley,L,72,180,0.256,13,0.256,13
Phil Garner,R,70,175,0.26,109,0.26,109
Larry Pashnick,R,75,205,0,0,0.0139,0.139
Todd Fischer,R,70,170,0,0,0.0124,0.18
