name,handedness,height,weight,avg,HR,new_avg,new_HR
Marty Martinez,B,72,170,0.243,0,0.243,0
Bruce Boisclair,L,74,185,0.263,10,0.263,10
Ken Singleton,B,76,210,0.282,246,0.282,246
Frank White,R,71,165,0.255,160,0.255,160
Jim Fairey,L,70,190,0.235,7,0.235,7
Jose Roman,R,72,175,0,0,0.0091,0.1
Tom Brookens,R,70,165,0.246,71,0.246,71
Gary Thomasson,L,73,180,0.249,61,0.249,61
Mike Trujillo,R,73,180,0,0,0.0023,0.135
Albert Williams,R,76,190,0,0,0.0148,0.158
Oswaldo Peraza,R,76,172,0,0,0.0034,0.18
Otto Velez,R,72,170,0.251,78,0.251,78
Tony Scott,B,72,164,0.249,17,0.249,17
Ray Oyler,R,71,165,0.175,15,0.175,15
Barry Cort,R,77,210,0,0,0.0033,0.199
Floyd Robinson,L,69,175,0.283,67,0.283,67
Steve Jeltz,B,71,180,0.21,5,0.21,5
Lou Brock,L,71,170,0.293,149,0.293,149
Bill Wilkinson,R,70,160,0,0,0.0061,0.192
Joe Lovitto,B,72,185,0.216,4,0.216,4
Mike Loynd,R,76,210,0,0,0.0065,0.137
Wayne Comer,R,70,175,0.229,16,0.229,16
Dave Collins,B,71,175,0.272,32,0.272,32
Ed Spiezio,R,71,180,0.238,39,0.238,39
Rico Petrocelli,R,72,175,0.251,210,0.251,210
Johnny Lewis,L,73,189,0.227,22,0.227,22
Dick Simpson,R,76,176,0.207,15,0.207,15
Ken Boswell,L,72,170,0.248,31,0.248,31
Ken McMullen,R,75,190,0.248,156,0.248,156
Randy Scarbery,B,73,185,0,0,0.0145,0.179
Steve Swisher,R,74,205,0.216,20,0.216,20
Ben Callahan,R,79,230,0,0,0.0155,0.138
Dick Howser,R,68,155,0.248,16,0.248,16
Manny Castillo,B,69,160,0.242,3,0.242,3
Mike Ramsey,B,73,170,0.24,2,0.24,2
Willie Crawford,L,73,197,0.268,86,0.268,86
Bobby Cuellar,R,71,188,0,0,0.007,0.162
Willie Norwood,R,72,185,0.242,18,0.242,18
Mike Jones,L,78,215,0,0,0.0012,0.102
Jeff Stone,L,72,175,0.277,11,0.277,11
Ramon Manon,R,72,150,0,0,0.0011,0.134
Joe Lahoud,L,73,198,0.223,65,0.223,65
Tim Flannery,L,71,175,0.255,9,0.255,9
Dave McKay,B,73,195,0.229,21,0.229,21
John Trautwein,R,75,205,0,0,0.0061,0.166
Andy Replogle,R,77,205,0,0,0.0012,0.164
Zach Crouch,L,75,180,0,0,0.0051,0.156
Benny Ayala,R,73,185,0.251,38,0.251,38
Ron Romanick,R,76,195,0,0,0.0164,0.1
Greg Gross,L,70,160,0.287,7,0.287,7
Bruce Tanner,L,75,220,0,0,0.016,0.114
Sal Butera,R,72,190,0.227,8,0.227,8
Jack Brohamer,L,70,165,0.245,30,0.245,30
Von Joshua,L,70,170,0.273,30,0.273,30
Eddie Milner,L,71,173,0.253,42,0.253,42
Johnny Jeter,R,73,180,0.244,18,0.244,18
Angel Salazar,R,72,180,0.212,2,0.212,2
Tony Oliva,L,73,175,0.304,220,0.304,220
Cito Gaston,R,75,190,0.256,91,0.256,91
Cookie Rojas,R,70,160,0.263,54,0.263,54
Rich Morales,R,71,170,0.195,6,0.195,6
Dave Ford,R,76,190,0,0,0.02,0.118
Dan Ford,R,73,185,0.27,121,0.27,121
Barry Raziano,B,70,175,0,0,0.019,0.148
Darryl Motley,R,69,196,0.243,44,0.243,44
Ozzie Virgil,R,73,180,0.243,98,0.243,98
Johnny Oates,L,71,188,0.25,14,0.25,14
Pat Underwood,L,72,175,0,0,0.0039,0.165
Mike Phillips,L,72,170,0.24,11,0.24,11
Ron Santo,R,72,190,0.277,342,0.277,342
Jay Johnstone,L,73,175,0.267,102,0.267,102
Jim Ray Hart,R,71,185,0.278,170,0.278,170
Marc Hill,R,75,205,0.223,34,0.223,34
Joel McKeon,L,72,185,0,0,0.0196,0.138
Danny Fife,R,75,175,0,0,0.0157,0.144
Chico Salmon,R,70,160,0.249,31,0.249,31
Joe Niekro,R,73,185,0.156,1,0.156,1
Andy Etchebarren,R,73,190,0.235,49,0.235,49
